,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
78,200637,2006-11-08,4,14,1,0.2,PRD0903461,CL00217,DEP00072,G00023,D00005,,,,994103100090324,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,11,2006-11
81,200638,2006-11-15,4,12,1,0.26,PRD0900154,CL00248,DEP00089,G00030,D00009,,,,994103200055843,M,MM,Small Shop,Grocery,STORE00001,LS,E02,2006,11,2006-11
82,200639,2006-11-26,1,15,1,0.01,PRD0902965,CL00212,DEP00070,G00022,D00005,,,,994103300077797,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,11,2006-11
84,200637,2006-11-07,3,14,1,1.16,PRD0901886,CL00098,DEP00031,G00008,D00002,,,,994103100148743,M,LA,Top Up,Fresh,STORE00001,LS,E02,2006,11,2006-11
123,200637,2006-11-07,3,17,3,2.85,PRD0903362,CL00001,DEP00001,G00001,D00001,,,,994103100023487,L,LA,Top Up,Mixed,STORE00001,LS,E02,2006,11,2006-11
129,200640,2006-11-29,4,20,3,2.85,PRD0903362,CL00001,DEP00001,G00001,D00001,,,,994103400005671,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,11,2006-11
151,200638,2006-11-15,4,19,1,0.79,PRD0900080,CL00006,DEP00002,G00001,D00001,,,,994103200058538,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2006,11,2006-11
153,200638,2006-11-13,2,16,3,1.47,PRD0904896,CL00003,DEP00002,G00001,D00001,,,,994103200106889,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,11,2006-11
175,200636,2006-11-02,5,19,1,0.87,PRD0903761,CL00008,DEP00003,G00002,D00001,,,,994103000112806,M,LA,Small Shop,Mixed,STORE00001,LS,E02,2006,11,2006-11
197,200640,2006-11-27,2,18,1,0.92,PRD0904915,CL00013,DEP00004,G00003,D00001,,,,994103400069336,M,LA,Small Shop,Fresh,STORE00001,LS,E02,2006,11,2006-11
