,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
14,200736,2007-11-01,5,21,1,2.49,PRD0904854,CL00098,DEP00031,G00008,D00002,,,,994108200052949,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,11,2007-11
75,200739,2007-11-22,5,16,1,5.94,PRD0901213,CL00235,DEP00083,G00028,D00008,,,,994108500072673,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,11,2007-11
96,200739,2007-11-25,1,17,1,7.4,PRD0902884,CL00212,DEP00070,G00022,D00005,,,,994108500016039,M,MM,Top Up,Nonfood,STORE00001,LS,E02,2007,11,2007-11
156,200739,2007-11-21,4,17,1,1.73,PRD0901243,CL00005,DEP00002,G00001,D00001,,,,994108500064562,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,11,2007-11
162,200739,2007-11-20,3,13,1,1.99,PRD0902238,CL00006,DEP00002,G00001,D00001,,,,994108500052348,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,11,2007-11
219,200737,2007-11-09,6,19,1,1.4,PRD0901897,CL00020,DEP00005,G00003,D00001,,,,994108300066113,S,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,11,2007-11
266,200736,2007-11-01,5,19,3,6.09,PRD0902944,CL00027,DEP00008,G00004,D00002,,,,994108200074288,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,11,2007-11
293,200738,2007-11-13,3,11,1,1.8,PRD0901265,CL00030,DEP00008,G00004,D00002,,,,994108400116217,L,MM,Top Up,Grocery,STORE00001,LS,E02,2007,11,2007-11
297,200740,2007-11-26,2,10,1,1.28,PRD0903497,CL00023,DEP00008,G00004,D00002,,,,994108600097435,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,11,2007-11
301,200739,2007-11-19,2,17,1,0.91,PRD0903052,CL00031,DEP00008,G00004,D00002,,,,994108500148625,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2007,11,2007-11
318,200738,2007-11-16,6,15,1,1.89,PRD0903192,CL00036,DEP00009,G00004,D00002,,,,994108400084105,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,11,2007-11
