,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
5,200651,2007-02-13,3,13,1,3.6,PRD0901652,CL00235,DEP00083,G00028,D00008,,,,994104500131347,M,MM,Top Up,Grocery,STORE00001,LS,E02,2007,2,2007-2
8,200649,2007-02-04,1,14,3,0.99,PRD0904070,CL00170,DEP00056,G00017,D00004,,,,994104300156736,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
137,200650,2007-02-11,1,20,1,1.27,PRD0902541,CL00004,DEP00002,G00001,D00001,,,,994104400012155,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
200,200650,2007-02-11,1,11,3,1.32,PRD0902735,CL00020,DEP00005,G00003,D00001,,,,994104400056030,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
203,200651,2007-02-14,4,13,1,0.63,PRD0902008,CL00018,DEP00005,G00003,D00001,,,,994104500048688,L,LA,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
239,200651,2007-02-17,7,18,1,2.51,PRD0902882,CL00029,DEP00008,G00004,D00002,,,,994104500148735,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
353,200649,2007-02-04,1,16,1,0.6,PRD0902540,CL00044,DEP00011,G00004,D00002,,,,994104300118725,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
360,200651,2007-02-17,7,16,1,1.93,PRD0904101,CL00042,DEP00011,G00004,D00002,,,,994104500010231,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
423,200652,2007-02-22,5,14,1,1.89,PRD0903252,CL00052,DEP00013,G00005,D00002,,,,994104600000806,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
448,200652,2007-02-21,4,17,1,1.16,PRD0904245,CL00065,DEP00019,G00007,D00002,,,,994104600014089,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
496,200701,2007-02-28,4,12,1,0.86,PRD0901887,CL00063,DEP00019,G00007,D00002,,,,994104700156356,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
536,200651,2007-02-12,2,16,3,1.56,PRD0902286,CL00070,DEP00020,G00007,D00002,,,,994104500077370,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
538,200650,2007-02-07,4,14,3,2.76,PRD0904217,CL00069,DEP00020,G00007,D00002,,,,994104400081604,M,MM,Small Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
593,200701,2007-02-26,2,21,3,6.27,PRD0904625,CL00072,DEP00021,G00007,D00002,,,,994104700021663,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
595,200701,2007-02-27,3,19,3,4.47,PRD0901007,CL00073,DEP00021,G00007,D00002,,,,994104700133842,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
610,200652,2007-02-19,2,18,4,10.04,PRD0904766,CL00079,DEP00022,G00007,D00002,,,,994104600102215,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
626,200650,2007-02-08,5,20,3,5.01,PRD0904552,CL00079,DEP00022,G00007,D00002,,,,994104400092345,L,LA,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
630,200650,2007-02-09,6,13,1,1.28,PRD0900929,CL00076,DEP00022,G00007,D00002,,,,994104400000531,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
706,200649,2007-02-04,1,13,3,1.41,PRD0903308,CL00101,DEP00034,G00010,D00003,,,,994104300020937,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
757,200652,2007-02-20,3,18,3,1.89,PRD0904016,CL00110,DEP00039,G00010,D00003,,,,994104600152707,L,UM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
790,200651,2007-02-17,7,18,1,1.02,PRD0903209,CL00127,DEP00046,G00013,D00003,,,,994104500148735,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
833,200650,2007-02-10,7,12,1,1.08,PRD0904433,CL00140,DEP00049,G00014,D00003,,,,994104400088868,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
939,200651,2007-02-13,3,16,1,0.67,PRD0900418,CL00155,DEP00053,G00016,D00003,,,,994104500123727,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
941,200652,2007-02-25,1,20,1,1.73,PRD0900316,CL00156,DEP00053,G00016,D00003,,,,994104600010052,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
976,200652,2007-02-22,5,14,1,0.42,PRD0904772,CL00160,DEP00054,G00016,D00003,,,,994104600023654,S,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
978,200652,2007-02-21,4,16,1,0.43,PRD0904635,CL00159,DEP00054,G00016,D00003,,,,994104600101464,S,UM,Small Shop,Grocery,STORE00001,LS,E02,2007,2,2007-2
1009,200652,2007-02-23,6,13,4,1.36,PRD0904690,CL00163,DEP00055,G00016,D00003,,,,994104600006313,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1016,200650,2007-02-06,3,18,1,3.04,PRD0904503,CL00165,DEP00055,G00016,D00003,,,,994104400102481,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
1038,200651,2007-02-17,7,13,1,1.18,PRD0901755,CL00202,DEP00067,G00021,D00005,,,,994104500012025,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
1049,200650,2007-02-07,4,17,1,0.79,PRD0903457,CL00202,DEP00067,G00021,D00005,,,,994104400002587,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
1052,200650,2007-02-08,5,12,1,0.62,PRD0901670,CL00198,DEP00067,G00021,D00005,,,,994104400009527,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1086,200701,2007-02-26,2,21,1,2.47,PRD0900178,CL00205,DEP00069,G00022,D00005,,,,994104700021663,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1120,200652,2007-02-22,5,15,1,0.86,PRD0900963,CL00248,DEP00089,G00030,D00009,CUST0000525126,LA,YA,994104600495009,S,MM,Small Shop,Grocery,STORE00001,LS,E02,2007,2,2007-2
1144,200651,2007-02-16,6,13,4,6.08,PRD0902171,CL00061,DEP00018,G00006,D00002,CUST0000710863,LA,YF,994104500624290,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1185,200650,2007-02-07,4,15,1,1.16,PRD0901886,CL00098,DEP00031,G00008,D00002,CUST0000762817,LA,YF,994104400647795,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1264,200651,2007-02-16,6,16,1,1.03,PRD0900097,CL00001,DEP00001,G00001,D00001,CUST0000997122,LA,OF,994104500809390,L,LA,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
1269,200650,2007-02-10,7,15,1,0.62,PRD0903643,CL00002,DEP00001,G00001,D00001,CUST0000475538,LA,YF,994104400464928,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
1270,200651,2007-02-12,2,19,1,0.75,PRD0903788,CL00001,DEP00001,G00001,D00001,CUST0000557293,LA,OT,994104500524808,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
1321,200651,2007-02-18,1,14,1,0.71,PRD0900859,CL00006,DEP00002,G00001,D00001,CUST0000207155,LA,OF,994104500297709,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1331,200649,2007-02-02,6,18,1,0.5,PRD0904195,CL00004,DEP00002,G00001,D00001,CUST0000662370,LA,OT,994104300586933,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,2,2007-2
1334,200650,2007-02-10,7,13,1,1.54,PRD0904286,CL00003,DEP00002,G00001,D00001,CUST0000986278,LA,,994104400789690,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1364,200651,2007-02-14,4,16,3,4.5,PRD0904192,CL00007,DEP00003,G00002,D00001,CUST0000122195,LA,YA,994104500243078,M,MM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
1365,200651,2007-02-18,1,12,1,3.32,PRD0904182,CL00008,DEP00003,G00002,D00001,CUST0000832547,LA,OF,994104500702419,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1366,200651,2007-02-12,2,16,3,2.73,PRD0903393,CL00007,DEP00003,G00002,D00001,CUST0000986734,LA,,994104500802745,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
1416,200651,2007-02-12,2,18,1,1.19,PRD0904207,CL00015,DEP00004,G00003,D00001,CUST0000057304,LA,YF,994104500201059,S,UM,Small Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1418,200651,2007-02-15,5,12,1,0.56,PRD0904044,CL00014,DEP00004,G00003,D00001,CUST0000710863,LA,YF,994104500624289,S,LA,Small Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1430,200652,2007-02-19,2,10,1,1.05,PRD0900243,CL00017,DEP00005,G00003,D00001,CUST0000925425,LA,OT,994104600753054,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1484,200650,2007-02-05,2,18,1,0.18,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000915203,LA,OT,994104400744672,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1506,200649,2007-02-02,6,13,1,1.93,PRD0903867,CL00023,DEP00008,G00004,D00002,CUST0000986734,LA,,994104300794173,M,LA,Top Up,Fresh,STORE00001,LS,E02,2007,2,2007-2
1510,200652,2007-02-19,2,10,1,1.15,PRD0900691,CL00023,DEP00008,G00004,D00002,CUST0000925425,LA,OT,994104600753054,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1516,200650,2007-02-10,7,20,1,1.28,PRD0903497,CL00023,DEP00008,G00004,D00002,CUST0000588881,LA,OT,994104400536756,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1518,200649,2007-02-02,6,12,1,1.93,PRD0903867,CL00023,DEP00008,G00004,D00002,CUST0000587643,LA,,994104300539247,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1519,200649,2007-02-02,6,15,1,2.03,PRD0902944,CL00027,DEP00008,G00004,D00002,CUST0000738459,LA,YA,994104300635290,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1523,200650,2007-02-11,1,18,1,1.87,PRD0902423,CL00031,DEP00008,G00004,D00002,CUST0000132570,LA,YF,994104400248531,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1587,200701,2007-02-27,3,17,1,2.42,PRD0904214,CL00025,DEP00008,G00004,D00002,CUST0000086836,LA,YF,994104700215153,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,2,2007-2
1622,200652,2007-02-23,6,13,1,1.49,PRD0904976,CL00040,DEP00010,G00004,D00002,CUST0000762817,LA,YF,994104600648503,L,MM,Full Shop,Grocery,STORE00001,LS,E02,2007,2,2007-2
1653,200650,2007-02-08,5,11,1,1.01,PRD0903074,CL00045,DEP00011,G00004,D00002,CUST0000986734,LA,,994104400789999,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
1654,200652,2007-02-25,1,19,1,1.01,PRD0903074,CL00045,DEP00011,G00004,D00002,CUST0000848108,LA,,994104600703003,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,2,2007-2
