,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
1,200805,2008-03-28,6,21,1,1.49,PRD0901120,CL00162,DEP00055,G00016,D00003,CUST0000735558,XX,,994110300629787,S,MM,Small Shop,Fresh,STORE00001,LS,E02,2008,3,2008-3
33,200801,2008-03-02,1,11,1,1.38,PRD0904727,CL00215,DEP00071,G00022,D00005,,,,994109900112842,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,3,2008-3
42,200805,2008-03-30,1,20,1,3.18,PRD0903523,CL00213,DEP00070,G00022,D00005,,,,994110300069299,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,3,2008-3
56,200805,2008-03-29,7,13,3,6.27,PRD0904559,CL00090,DEP00026,G00008,D00002,,,,994110300012515,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2008,3,2008-3
73,200802,2008-03-09,1,12,3,0.9,PRD0904463,CL00248,DEP00089,G00030,D00009,,,,994110000168279,L,MM,Top Up,Grocery,STORE00001,LS,E02,2008,3,2008-3
87,200803,2008-03-14,6,11,4,0.96,PRD0901064,CL00214,DEP00071,G00022,D00005,,,,994110100037648,M,MM,Small Shop,Grocery,STORE00001,LS,E02,2008,3,2008-3
131,200802,2008-03-07,6,17,1,0.85,PRD0900254,CL00001,DEP00001,G00001,D00001,,,,994110000135931,M,MM,Top Up,Mixed,STORE00001,LS,E02,2008,3,2008-3
191,200805,2008-03-26,4,20,1,1.82,PRD0902041,CL00013,DEP00004,G00003,D00001,,,,994110300121665,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,3,2008-3
237,200805,2008-03-24,2,8,1,1.83,PRD0900159,CL00029,DEP00008,G00004,D00002,,,,994110300127594,M,MM,Top Up,Mixed,STORE00001,LS,E02,2008,3,2008-3
253,200805,2008-03-29,7,13,1,1.11,PRD0901265,CL00030,DEP00008,G00004,D00002,,,,994110300057824,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2008,3,2008-3
