,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
4,200626,2006-08-24,5,16,1,1.77,PRD0901877,CL00169,DEP00056,G00017,D00004,,,,994102000065854,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
23,200626,2006-08-26,7,19,1,2.02,PRD0901216,CL00091,DEP00026,G00008,D00002,,,,994102000112686,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
60,200624,2006-08-13,1,12,1,0.26,PRD0900154,CL00248,DEP00089,G00030,D00009,,,,994101800020640,L,MM,Top Up,Grocery,STORE00001,LS,E02,2006,8,2006-8
66,200627,2006-08-31,5,18,1,1.85,PRD0900633,CL00061,DEP00018,G00006,D00002,,,,994102100072882,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
74,200625,2006-08-17,5,12,1,0.74,PRD0900315,CL00212,DEP00070,G00022,D00005,,,,994101900127644,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
89,200623,2006-08-06,1,9,12,4.92,PRD0901819,CL00249,DEP00089,G00030,D00009,,,,994101700011022,L,MM,Top Up,Grocery,STORE00001,LS,E02,2006,8,2006-8
111,200626,2006-08-22,3,21,1,1.37,PRD0900202,CL00002,DEP00001,G00001,D00001,,,,994102000129194,M,MM,Small Shop,Grocery,STORE00001,LS,E02,2006,8,2006-8
117,200623,2006-08-06,1,21,1,0.75,PRD0903788,CL00001,DEP00001,G00001,D00001,,,,994101700120678,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
126,200627,2006-08-31,5,8,1,0.85,PRD0900254,CL00001,DEP00001,G00001,D00001,,,,994102100134572,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
226,200626,2006-08-21,2,13,3,5.19,PRD0901294,CL00033,DEP00008,G00004,D00002,,,,994102000009715,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
280,200625,2006-08-17,5,12,1,1.05,PRD0904567,CL00025,DEP00008,G00004,D00002,,,,994101900127644,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
364,200626,2006-08-25,6,17,1,1.46,PRD0900375,CL00041,DEP00011,G00004,D00002,,,,994102000045732,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
375,200623,2006-08-01,3,15,1,1.78,PRD0900173,CL00045,DEP00011,G00004,D00002,,,,994101700088323,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,8,2006-8
392,200625,2006-08-14,2,21,1,1.01,PRD0903074,CL00045,DEP00011,G00004,D00002,,,,994101900059599,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
413,200626,2006-08-22,3,16,1,2.34,PRD0904715,CL00046,DEP00012,G00004,D00002,,,,994102000044166,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
468,200624,2006-08-07,2,14,1,0.31,PRD0902322,CL00063,DEP00019,G00007,D00002,,,,994101800034852,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
490,200623,2006-08-03,5,11,1,1.54,PRD0904358,CL00063,DEP00019,G00007,D00002,,,,994101700128315,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
574,200623,2006-08-03,5,17,3,8.97,PRD0901347,CL00072,DEP00021,G00007,D00002,,,,994101700060598,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
591,200627,2006-08-29,3,17,1,0.69,PRD0903336,CL00074,DEP00021,G00007,D00002,,,,994102100131274,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
611,200623,2006-08-02,4,16,1,1.48,PRD0902376,CL00079,DEP00022,G00007,D00002,,,,994101700172946,M,UM,Small Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
619,200625,2006-08-20,1,21,3,8.58,PRD0903953,CL00076,DEP00022,G00007,D00002,,,,994101900057535,M,UM,Small Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
656,200624,2006-08-09,4,18,1,0.98,PRD0901494,CL00079,DEP00022,G00007,D00002,,,,994101800122229,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
679,200623,2006-08-03,5,17,1,0.62,PRD0900203,CL00088,DEP00025,G00008,D00002,,,,994101700060598,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
680,200625,2006-08-15,3,11,1,0.15,PRD0902397,CL00089,DEP00025,G00008,D00002,,,,994101900048508,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
681,200627,2006-08-28,2,15,1,0.74,PRD0902044,CL00088,DEP00025,G00008,D00002,,,,994102100114284,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
688,200624,2006-08-13,1,21,3,0.75,PRD0900985,CL00092,DEP00027,G00008,D00002,,,,994101800168989,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
749,200625,2006-08-17,5,17,4,1.4,PRD0903078,CL00108,DEP00037,G00010,D00003,,,,994101900148069,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
765,200623,2006-08-03,5,21,1,0.92,PRD0901909,CL00110,DEP00039,G00010,D00003,,,,994101700021125,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
795,200625,2006-08-18,6,11,1,0.83,PRD0904303,CL00129,DEP00046,G00013,D00003,,,,994101900010829,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,8,2006-8
810,200624,2006-08-13,1,18,1,1.75,PRD0900500,CL00130,DEP00047,G00013,D00003,,,,994101800018069,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
845,200623,2006-08-04,6,21,1,2.17,PRD0904577,CL00140,DEP00049,G00014,D00003,,,,994101700013024,M,UM,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
901,200624,2006-08-11,6,21,3,2.04,PRD0900648,CL00150,DEP00052,G00015,D00003,,,,994101800039308,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
902,200625,2006-08-14,2,13,1,0.81,PRD0904963,CL00150,DEP00052,G00015,D00003,,,,994101900017738,L,MM,Top Up,Grocery,STORE00001,LS,E02,2006,8,2006-8
918,200624,2006-08-13,1,9,1,0.14,PRD0903211,CL00154,DEP00052,G00015,D00003,,,,994101800127142,S,LA,Small Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
922,200624,2006-08-13,1,15,1,5.43,PRD0903172,CL00151,DEP00052,G00015,D00003,,,,994101800010523,M,UM,Small Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
969,200626,2006-08-25,6,18,1,1.59,PRD0901436,CL00160,DEP00054,G00016,D00003,,,,994102000070281,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,8,2006-8
985,200623,2006-08-06,1,13,1,0.35,PRD0902102,CL00160,DEP00054,G00016,D00003,,,,994101700061649,M,MM,Small Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1020,200627,2006-08-29,3,15,1,0.36,PRD0904367,CL00164,DEP00055,G00016,D00003,,,,994102100156113,S,MM,Small Shop,Grocery,STORE00001,LS,E02,2006,8,2006-8
1026,200624,2006-08-13,1,18,1,0.2,PRD0903164,CL00164,DEP00055,G00016,D00003,,,,994101800094423,L,LA,Top Up,Grocery,STORE00001,LS,E02,2006,8,2006-8
1107,200626,2006-08-27,1,17,1,12.51,PRD0901310,CL00229,DEP00081,G00027,D00008,,,,994102000112995,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1111,200624,2006-08-10,5,21,3,3.9,PRD0902886,CL00229,DEP00081,G00027,D00008,,,,994101800056592,L,UM,Top Up,Grocery,STORE00001,LS,E02,2006,8,2006-8
1152,200626,2006-08-26,7,11,1,0.67,PRD0902625,CL00212,DEP00070,G00022,D00005,CUST0000393587,LA,YA,994102000409526,M,LA,Small Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1203,200627,2006-08-29,3,14,1,0.93,PRD0904869,CL00169,DEP00056,G00017,D00004,CUST0000665754,LA,OT,994102100578134,M,LA,Small Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1216,200625,2006-08-20,1,13,1,0.86,PRD0900963,CL00248,DEP00089,G00030,D00009,CUST0000731822,LA,OT,994101900623955,S,MM,Small Shop,Grocery,STORE00001,LS,E02,2006,8,2006-8
1230,200627,2006-08-30,4,9,1,1.6,PRD0904722,CL00091,DEP00026,G00008,D00002,CUST0000534768,LA,YF,994102100496026,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1295,200623,2006-08-03,5,12,1,1.44,PRD0900819,CL00002,DEP00001,G00001,D00001,CUST0000710863,LA,YF,994101700608461,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1338,200627,2006-08-30,4,10,1,0.42,PRD0904315,CL00006,DEP00002,G00001,D00001,CUST0000037123,LA,OA,994102100186062,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1393,200625,2006-08-17,5,15,1,0.79,PRD0903017,CL00007,DEP00003,G00002,D00001,CUST0000957189,LA,YF,994101900764604,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
1547,200624,2006-08-09,4,21,1,1.67,PRD0904780,CL00031,DEP00008,G00004,D00002,CUST0000678474,LA,OT,994101800582517,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1555,200625,2006-08-19,7,12,1,1.46,PRD0903587,CL00031,DEP00008,G00004,D00002,CUST0000322562,LA,OF,994101900369232,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1573,200627,2006-08-30,4,15,1,1.19,PRD0901265,CL00030,DEP00008,G00004,D00002,CUST0000572693,LA,OT,994102100519631,M,LA,Top Up,Mixed,STORE00001,LS,E02,2006,8,2006-8
1593,200623,2006-08-04,6,13,1,2.0,PRD0901265,CL00030,DEP00008,G00004,D00002,CUST0000706608,LA,OT,994101700605817,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,8,2006-8
1612,200626,2006-08-21,2,20,1,0.4,PRD0902728,CL00038,DEP00010,G00004,D00002,CUST0000037123,LA,OA,994102000187362,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1629,200623,2006-08-05,7,18,1,0.4,PRD0902728,CL00038,DEP00010,G00004,D00002,CUST0000099658,LA,OF,994101700234871,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,8,2006-8
1633,200625,2006-08-18,6,17,1,0.86,PRD0900302,CL00037,DEP00010,G00004,D00002,CUST0000915203,LA,OT,994101900738499,M,LA,Top Up,Fresh,STORE00001,LS,E02,2006,8,2006-8
