,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
632,200819,2008-07-01,3,21,1,2.86,PRD0903953,CL00076,DEP00022,G00007,D00002,,,,994111700049438,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
1319,200819,2008-07-04,6,12,5,3.5,PRD0904478,CL00002,DEP00001,G00001,D00001,CUST0000322562,LA,OF,994111700377875,L,MM,Top Up,Mixed,STORE00001,LS,E02,2008,7,2008-7
1399,200819,2008-07-04,6,13,1,0.77,PRD0903179,CL00009,DEP00003,G00002,D00001,CUST0000364905,LA,YA,994111700405868,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
1435,200819,2008-07-01,3,14,1,0.67,PRD0901798,CL00017,DEP00005,G00003,D00001,CUST0000812410,LA,PE,994111700695898,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,7,2008-7
1624,200819,2008-07-04,6,12,1,0.8,PRD0900302,CL00037,DEP00010,G00004,D00002,CUST0000986734,LA,,994111700810213,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,7,2008-7
1879,200819,2008-07-06,1,20,1,1.16,PRD0904245,CL00065,DEP00019,G00007,D00002,CUST0000820750,LA,OA,994111700701344,M,MM,Top Up,Grocery,STORE00001,LS,E02,2008,7,2008-7
1976,200819,2008-07-01,3,21,4,3.52,PRD0902262,CL00070,DEP00020,G00007,D00002,CUST0000996753,LA,YF,994111700816636,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,7,2008-7
2093,200819,2008-07-06,1,8,1,0.41,PRD0902254,CL00073,DEP00021,G00007,D00002,CUST0000386374,LA,OF,994111700419630,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2008,7,2008-7
2159,200819,2008-07-02,4,11,1,2.09,PRD0904962,CL00078,DEP00022,G00007,D00002,CUST0000809769,LA,OT,994111700694203,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
2178,200819,2008-07-06,1,20,1,1.92,PRD0902260,CL00075,DEP00022,G00007,D00002,CUST0000986734,LA,,994111700810216,M,MM,Top Up,Fresh,STORE00001,LS,E02,2008,7,2008-7
2188,200819,2008-07-05,7,12,1,1.71,PRD0900578,CL00079,DEP00022,G00007,D00002,CUST0000587643,LA,,994111700549370,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
2342,200819,2008-07-04,6,15,1,0.72,PRD0904973,CL00105,DEP00036,G00010,D00003,CUST0000912932,LA,OT,994111700762033,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
2348,200819,2008-07-01,3,21,3,1.59,PRD0901672,CL00104,DEP00036,G00010,D00003,CUST0000996753,LA,YF,994111700816636,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,7,2008-7
2501,200819,2008-07-04,6,15,1,0.31,PRD0904637,CL00131,DEP00047,G00013,D00003,CUST0000912932,LA,OT,994111700762033,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,7,2008-7
