,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
6,200731,2007-09-27,5,14,1,1.43,PRD0904465,CL00212,DEP00070,G00022,D00005,,,,994107700047632,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
20,200730,2007-09-21,6,14,1,0.93,PRD0903358,CL00216,DEP00071,G00022,D00005,,,,994107600005292,M,UM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
65,200728,2007-09-04,3,11,3,4.71,PRD0902215,CL00098,DEP00031,G00008,D00002,,,,994107400048790,M,LA,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
94,200729,2007-09-10,2,19,8,38.48,PRD0901196,CL00234,DEP00083,G00028,D00008,,,,994107500122830,L,UM,Top Up,Grocery,STORE00001,LS,E02,2007,9,2007-9
148,200731,2007-09-26,4,11,3,1.86,PRD0902618,CL00006,DEP00002,G00001,D00001,,,,994107700104675,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
167,200731,2007-09-27,5,14,1,1.06,PRD0901769,CL00007,DEP00003,G00002,D00001,,,,994107700047632,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
210,200731,2007-09-30,1,11,1,3.44,PRD0903036,CL00020,DEP00005,G00003,D00001,,,,994107700068910,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
223,200731,2007-09-24,2,16,1,1.28,PRD0903497,CL00023,DEP00008,G00004,D00002,,,,994107700110907,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
259,200731,2007-09-27,5,21,1,1.15,PRD0900691,CL00023,DEP00008,G00004,D00002,,,,994107700027381,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
299,200729,2007-09-11,3,21,1,1.16,PRD0903052,CL00031,DEP00008,G00004,D00002,,,,994107500170515,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
300,200728,2007-09-05,4,20,3,3.15,PRD0900875,CL00025,DEP00008,G00004,D00002,,,,994107400158441,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
346,200731,2007-09-27,5,19,1,2.49,PRD0904250,CL00045,DEP00011,G00004,D00002,,,,994107700002660,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
356,200731,2007-09-27,5,19,1,0.99,PRD0901316,CL00044,DEP00011,G00004,D00002,,,,994107700002660,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
404,200729,2007-09-10,2,18,1,0.99,PRD0901316,CL00044,DEP00011,G00004,D00002,,,,994107500076132,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
459,200730,2007-09-20,5,15,1,0.98,PRD0900121,CL00063,DEP00019,G00007,D00002,,,,994107600158001,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
521,200729,2007-09-16,1,12,1,1.38,PRD0903778,CL00067,DEP00019,G00007,D00002,,,,994107500105368,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
537,200731,2007-09-27,5,17,1,2.6,PRD0903389,CL00070,DEP00020,G00007,D00002,,,,994107700146145,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
589,200728,2007-09-06,5,8,3,4.47,PRD0901007,CL00073,DEP00021,G00007,D00002,,,,994107400076301,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
599,200731,2007-09-30,1,21,3,7.53,PRD0904766,CL00079,DEP00022,G00007,D00002,,,,994107700159175,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
604,200730,2007-09-22,7,20,1,1.37,PRD0900916,CL00076,DEP00022,G00007,D00002,,,,994107600117986,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
661,200728,2007-09-04,3,12,1,1.26,PRD0903437,CL00079,DEP00022,G00007,D00002,,,,994107400015405,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
664,200731,2007-09-26,4,21,1,0.89,PRD0900328,CL00081,DEP00023,G00007,D00002,,,,994107700076692,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
673,200729,2007-09-13,5,21,3,11.31,PRD0903377,CL00086,DEP00024,G00007,D00002,,,,994107500049705,L,UM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
694,200728,2007-09-07,6,21,1,2.26,PRD0902194,CL00092,DEP00027,G00008,D00002,,,,994107400077991,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
763,200727,2007-09-02,1,17,1,2.6,PRD0903536,CL00111,DEP00039,G00010,D00003,,,,994107300167881,M,UM,Small Shop,Grocery,STORE00001,LS,E02,2007,9,2007-9
781,200731,2007-09-24,2,15,1,0.38,PRD0904258,CL00128,DEP00046,G00013,D00003,,,,994107700053250,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
801,200731,2007-09-29,7,20,1,0.57,PRD0903717,CL00131,DEP00047,G00013,D00003,,,,994107700136678,L,LA,Top Up,Grocery,STORE00001,LS,E02,2007,9,2007-9
832,200730,2007-09-21,6,9,1,1.54,PRD0902350,CL00140,DEP00049,G00014,D00003,,,,994107600021850,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
848,200729,2007-09-16,1,10,1,1.46,PRD0901469,CL00140,DEP00049,G00014,D00003,,,,994107500083071,L,LA,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
861,200730,2007-09-17,2,12,1,1.67,PRD0902669,CL00145,DEP00051,G00015,D00003,,,,994107600018253,M,MM,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
880,200731,2007-09-28,6,21,1,0.14,PRD0903211,CL00154,DEP00052,G00015,D00003,,,,994107700039395,L,LA,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
892,200731,2007-09-30,1,17,3,2.91,PRD0901561,CL00150,DEP00052,G00015,D00003,,,,994107700164102,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
899,200728,2007-09-09,1,15,1,0.39,PRD0903309,CL00149,DEP00052,G00015,D00003,,,,994107400126517,M,UM,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
904,200728,2007-09-06,5,8,1,0.73,PRD0903685,CL00152,DEP00052,G00015,D00003,,,,994107400076301,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
996,200728,2007-09-03,2,21,1,1.07,PRD0904936,CL00160,DEP00054,G00016,D00003,,,,994107400148874,L,LA,Top Up,Mixed,STORE00001,LS,E02,2007,9,2007-9
1010,200730,2007-09-22,7,20,3,1.17,PRD0902868,CL00163,DEP00055,G00016,D00003,,,,994107600011009,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1037,200730,2007-09-23,1,21,1,1.23,PRD0903918,CL00202,DEP00067,G00021,D00005,,,,994107600045637,M,LA,Small Shop,Grocery,STORE00001,LS,E02,2007,9,2007-9
1073,200729,2007-09-12,4,21,1,0.29,PRD0903693,CL00202,DEP00067,G00021,D00005,,,,994107500088178,L,LA,Full Shop,Grocery,STORE00001,LS,E02,2007,9,2007-9
1100,200729,2007-09-16,1,15,1,0.33,PRD0903812,CL00218,DEP00073,G00023,D00005,,,,994107500073633,S,MM,Small Shop,Nonfood,STORE00001,LS,E02,2007,9,2007-9
1128,200731,2007-09-27,5,16,1,0.01,PRD0901686,CL00247,DEP00089,G00030,D00009,CUST0000554021,LA,YF,994107700534146,S,MM,Small Shop,Nonfood,STORE00001,LS,E02,2007,9,2007-9
1146,200730,2007-09-20,5,12,3,1.02,PRD0904061,CL00248,DEP00089,G00030,D00009,CUST0000455083,LA,OT,994107600451246,M,MM,Small Shop,Grocery,STORE00001,LS,E02,2007,9,2007-9
1160,200730,2007-09-19,4,8,1,1.6,PRD0904722,CL00091,DEP00026,G00008,D00002,CUST0000657952,LA,YF,994107600579309,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1251,200729,2007-09-15,7,13,5,7.6,PRD0902171,CL00061,DEP00018,G00006,D00002,CUST0000710863,LA,YF,994107500636102,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
1254,200729,2007-09-16,1,19,1,2.03,PRD0901438,CL00187,DEP00062,G00018,D00004,CUST0000455083,LA,OT,994107500468864,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1258,200729,2007-09-16,1,17,1,3.39,PRD0903511,CL00238,DEP00084,G00028,D00008,CUST0000016404,LA,OT,994107500181925,L,MM,Top Up,Grocery,STORE00001,LS,E02,2007,9,2007-9
1259,200729,2007-09-16,1,12,1,2.66,PRD0900366,CL00098,DEP00031,G00008,D00002,CUST0000762817,LA,YF,994107500669991,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
1268,200730,2007-09-17,2,15,1,1.37,PRD0900202,CL00002,DEP00001,G00001,D00001,CUST0000053927,LA,,994107600199399,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1303,200729,2007-09-11,3,10,1,0.78,PRD0902409,CL00001,DEP00001,G00001,D00001,CUST0000898638,LA,OT,994107500759023,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1318,200729,2007-09-11,3,17,1,1.47,PRD0902993,CL00002,DEP00001,G00001,D00001,CUST0000665754,LA,OT,994107500606355,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1350,200728,2007-09-07,6,16,1,0.66,PRD0902843,CL00003,DEP00002,G00001,D00001,CUST0000501703,LA,YA,994107400500773,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1386,200730,2007-09-23,1,20,1,0.38,PRD0901961,CL00007,DEP00003,G00002,D00001,CUST0000475538,LA,YF,994107600464232,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1396,200728,2007-09-09,1,19,3,6.36,PRD0902781,CL00010,DEP00003,G00002,D00001,CUST0000275967,LA,OA,994107400352494,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1400,200729,2007-09-12,4,21,1,0.46,PRD0904422,CL00008,DEP00003,G00002,D00001,CUST0000978584,LA,OT,994107500811629,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
1437,200731,2007-09-29,7,21,1,0.55,PRD0904679,CL00017,DEP00005,G00003,D00001,CUST0000634693,LA,YF,994107700587015,L,LA,Top Up,Grocery,STORE00001,LS,E02,2007,9,2007-9
1492,200731,2007-09-26,4,18,1,0.8,PRD0901776,CL00025,DEP00008,G00004,D00002,CUST0000146080,LA,YA,994107700268011,M,LA,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1513,200731,2007-09-26,4,19,3,5.49,PRD0900159,CL00029,DEP00008,G00004,D00002,CUST0000540341,LA,YF,994107700525129,M,UM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1533,200728,2007-09-03,2,16,1,1.22,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000629928,LA,YA,994107400585052,M,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1537,200728,2007-09-05,4,18,1,1.15,PRD0900691,CL00023,DEP00008,G00004,D00002,CUST0000755461,LA,YA,994107400668517,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1543,200728,2007-09-04,3,19,1,1.51,PRD0900234,CL00025,DEP00008,G00004,D00002,CUST0000108776,LA,OA,994107400243070,L,LA,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1582,200728,2007-09-04,3,11,1,2.09,PRD0901740,CL00033,DEP00008,G00004,D00002,CUST0000653126,LA,OT,994107400600608,M,LA,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1651,200730,2007-09-19,4,15,1,1.51,PRD0900066,CL00041,DEP00011,G00004,D00002,CUST0000016404,LA,OT,994107600175436,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2007,9,2007-9
1677,200731,2007-09-28,6,13,1,0.4,PRD0901383,CL00044,DEP00011,G00004,D00002,CUST0000037123,LA,OA,994107700196723,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
1681,200731,2007-09-26,4,11,1,2.36,PRD0902813,CL00043,DEP00011,G00004,D00002,CUST0000777781,LA,PE,994107700680518,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,9,2007-9
1687,200730,2007-09-18,3,15,1,0.47,PRD0903620,CL00044,DEP00011,G00004,D00002,CUST0000957189,LA,YF,994107600768840,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2007,9,2007-9
