,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
166,200607,2006-04-15,7,11,1,0.54,PRD0900430,CL00007,DEP00003,G00002,D00001,,,,994100100115186,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,4,2006-4
251,200609,2006-04-30,1,20,1,1.86,PRD0900440,CL00026,DEP00008,G00004,D00002,,,,994100300087313,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,4,2006-4
411,200609,2006-04-24,2,12,1,0.8,PRD0901500,CL00046,DEP00012,G00004,D00002,,,,994100300076017,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,4,2006-4
444,200609,2006-04-24,2,12,1,0.97,PRD0903612,CL00063,DEP00019,G00007,D00002,,,,994100300121817,L,UM,Top Up,Mixed,STORE00001,LS,E02,2006,4,2006-4
465,200609,2006-04-27,5,21,1,0.79,PRD0902659,CL00065,DEP00019,G00007,D00002,,,,994100300027667,M,UM,Top Up,Fresh,STORE00001,LS,E02,2006,4,2006-4
467,200609,2006-04-29,7,15,1,0.98,PRD0900121,CL00063,DEP00019,G00007,D00002,,,,994100300060232,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,4,2006-4
622,200607,2006-04-11,3,12,3,3.63,PRD0901338,CL00079,DEP00022,G00007,D00002,,,,994100100064591,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,4,2006-4
663,200609,2006-04-27,5,18,1,1.03,PRD0903923,CL00083,DEP00023,G00007,D00002,,,,994100300003328,L,LA,Top Up,Mixed,STORE00001,LS,E02,2006,4,2006-4
729,200607,2006-04-10,2,17,1,1.81,PRD0903081,CL00104,DEP00036,G00010,D00003,,,,994100100044310,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,4,2006-4
755,200609,2006-04-28,6,21,8,0.56,PRD0903270,CL00110,DEP00039,G00010,D00003,,,,994100300033390,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,4,2006-4
782,200609,2006-04-29,7,15,1,0.92,PRD0904843,CL00127,DEP00046,G00013,D00003,,,,994100300039811,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,4,2006-4
862,200607,2006-04-16,1,16,1,1.03,PRD0902479,CL00144,DEP00051,G00015,D00003,,,,994100100041815,L,UM,Full Shop,Mixed,STORE00001,LS,E02,2006,4,2006-4
886,200607,2006-04-11,3,14,1,0.49,PRD0902289,CL00154,DEP00052,G00015,D00003,,,,994100100071651,M,UM,Top Up,Mixed,STORE00001,LS,E02,2006,4,2006-4
