,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
13,200636,2006-10-31,3,12,4,1.04,PRD0900154,CL00248,DEP00089,G00030,D00009,,,,994103000058541,L,MM,Top Up,Grocery,STORE00001,LS,E02,2006,10,2006-10
38,200636,2006-10-31,3,13,1,0.77,PRD0904392,CL00022,DEP00007,G00003,D00001,,,,994103000102783,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
52,200631,2006-10-01,1,21,1,1.6,PRD0901377,CL00213,DEP00070,G00022,D00005,,,,994102500143610,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
59,200633,2006-10-12,5,8,1,6.55,PRD0904222,CL00212,DEP00070,G00022,D00005,,,,994102700011380,M,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
63,200633,2006-10-14,7,16,3,8.04,PRD0902919,CL00098,DEP00031,G00008,D00002,,,,994102700008376,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
71,200634,2006-10-17,3,14,3,2.73,PRD0904294,CL00100,DEP00033,G00009,D00002,,,,994102800094567,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
80,200633,2006-10-14,7,17,1,1.48,PRD0903840,CL00098,DEP00031,G00008,D00002,,,,994102700100154,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
149,200633,2006-10-10,3,8,1,0.42,PRD0900637,CL00003,DEP00002,G00001,D00001,,,,994102700087739,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
184,200635,2006-10-24,3,20,3,9.18,PRD0902456,CL00010,DEP00003,G00002,D00001,,,,994102900033962,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
186,200632,2006-10-04,4,12,1,1.22,PRD0904136,CL00007,DEP00003,G00002,D00001,,,,994102600080907,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
202,200636,2006-10-31,3,13,1,1.56,PRD0903821,CL00020,DEP00005,G00003,D00001,,,,994103000102783,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
218,200635,2006-10-28,7,20,1,0.66,PRD0901798,CL00017,DEP00005,G00003,D00001,,,,994102900154186,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
290,200632,2006-10-06,6,15,1,1.14,PRD0903395,CL00028,DEP00008,G00004,D00002,,,,994102600069951,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
315,200633,2006-10-10,3,20,1,1.01,PRD0900427,CL00036,DEP00009,G00004,D00002,,,,994102700092109,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
327,200635,2006-10-27,6,15,1,0.4,PRD0902728,CL00038,DEP00010,G00004,D00002,,,,994102900107731,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
328,200635,2006-10-24,3,14,1,0.51,PRD0902005,CL00038,DEP00010,G00004,D00002,,,,994102900048847,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
331,200635,2006-10-23,2,21,1,1.76,PRD0900302,CL00037,DEP00010,G00004,D00002,,,,994102900135477,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
336,200635,2006-10-26,5,21,1,0.51,PRD0902005,CL00038,DEP00010,G00004,D00002,,,,994102900054188,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
337,200632,2006-10-02,2,14,1,2.67,PRD0900302,CL00037,DEP00010,G00004,D00002,,,,994102600034937,M,LA,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
368,200633,2006-10-09,2,15,1,0.4,PRD0901383,CL00044,DEP00011,G00004,D00002,,,,994102700137983,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
389,200634,2006-10-18,4,16,1,0.2,PRD0902540,CL00044,DEP00011,G00004,D00002,,,,994102800043333,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
394,200632,2006-10-08,1,18,1,0.97,PRD0900830,CL00043,DEP00011,G00004,D00002,,,,994102600010963,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
472,200635,2006-10-24,3,14,1,0.59,PRD0904371,CL00068,DEP00019,G00007,D00002,,,,994102900048847,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
474,200635,2006-10-28,7,20,1,1.49,PRD0904675,CL00064,DEP00019,G00007,D00002,,,,994102900126413,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
492,200634,2006-10-19,5,12,1,0.63,PRD0904519,CL00067,DEP00019,G00007,D00002,,,,994102800124964,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
543,200635,2006-10-23,2,17,1,1.03,PRD0900028,CL00070,DEP00020,G00007,D00002,,,,994102900002522,L,UM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
547,200632,2006-10-06,6,18,1,0.62,PRD0901353,CL00070,DEP00020,G00007,D00002,,,,994102600117697,M,UM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
592,200632,2006-10-04,4,16,3,1.59,PRD0901667,CL00073,DEP00021,G00007,D00002,,,,994102600136871,L,LA,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
638,200632,2006-10-08,1,13,1,0.72,PRD0901228,CL00078,DEP00022,G00007,D00002,,,,994102600057834,M,LA,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
639,200632,2006-10-08,1,8,3,1.17,PRD0904866,CL00075,DEP00022,G00007,D00002,,,,994102600154432,M,MM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
648,200633,2006-10-11,4,18,1,1.76,PRD0901773,CL00078,DEP00022,G00007,D00002,,,,994102700057502,M,UM,Small Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
669,200633,2006-10-12,5,15,1,1.71,PRD0903748,CL00081,DEP00023,G00007,D00002,,,,994102700117864,L,UM,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
723,200632,2006-10-06,6,15,3,0.54,PRD0904921,CL00103,DEP00035,G00010,D00003,,,,994102600069951,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
744,200633,2006-10-10,3,16,5,2.35,PRD0904599,CL00108,DEP00037,G00010,D00003,,,,994102700073232,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
820,200634,2006-10-21,7,14,1,0.44,PRD0900701,CL00139,DEP00048,G00013,D00003,,,,994102800013696,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
842,200632,2006-10-08,1,13,1,0.79,PRD0901541,CL00140,DEP00049,G00014,D00003,,,,994102600057834,M,LA,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
903,200635,2006-10-24,3,21,1,1.13,PRD0902147,CL00152,DEP00052,G00015,D00003,,,,994102900101197,L,UM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
984,200632,2006-10-05,5,11,1,0.8,PRD0903959,CL00159,DEP00054,G00016,D00003,,,,994102600141056,L,MM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
991,200634,2006-10-22,1,17,1,1.88,PRD0901896,CL00159,DEP00054,G00016,D00003,,,,994102800114613,M,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
1055,200634,2006-10-16,2,18,1,0.83,PRD0902242,CL00202,DEP00067,G00021,D00005,,,,994102800020070,L,UM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
1076,200636,2006-10-31,3,13,1,0.99,PRD0903718,CL00207,DEP00069,G00022,D00005,,,,994103000102783,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
1169,200636,2006-10-31,3,19,1,1.26,PRD0903915,CL00169,DEP00056,G00017,D00004,CUST0000986734,LA,,994103000794083,M,UM,Top Up,Fresh,STORE00001,LS,E02,2006,10,2006-10
1186,200632,2006-10-05,5,8,1,1.14,PRD0901318,CL00214,DEP00071,G00022,D00005,CUST0000572854,LA,OT,994102600525535,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
1193,200634,2006-10-16,2,13,1,8.46,PRD0900184,CL00174,DEP00059,G00017,D00004,CUST0000809769,LA,OT,994102800667607,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2006,10,2006-10
1202,200635,2006-10-24,3,10,1,9.36,PRD0900822,CL00228,DEP00080,G00026,D00007,CUST0000820750,LA,OA,994102900664325,S,XX,Small Shop,Nonfood,STORE00001,LS,E02,2006,10,2006-10
1208,200634,2006-10-17,3,9,1,1.58,PRD0902207,CL00100,DEP00033,G00009,D00002,CUST0000696111,LA,YF,994102800596380,L,MM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
1210,200632,2006-10-08,1,9,1,0.23,PRD0901669,CL00185,DEP00062,G00018,D00004,CUST0000820750,LA,OA,994102600683152,M,UM,Top Up,Mixed,STORE00001,LS,E02,2006,10,2006-10
1233,200632,2006-10-03,3,14,1,0.95,PRD0903955,CL00093,DEP00028,G00008,D00002,CUST0000812410,LA,PE,994102600677900,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2006,10,2006-10
