,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
9,200747,2008-01-17,5,18,1,1.1,PRD0902048,CL00093,DEP00028,G00008,D00002,,,,994109300108071,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
43,200748,2008-01-26,7,21,6,1.44,PRD0901579,CL00113,DEP00040,G00011,D00003,,,,994109400084553,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
115,200749,2008-01-31,5,21,1,1.25,PRD0904945,CL00001,DEP00001,G00001,D00001,,,,994109500033078,M,LA,Top Up,Nonfood,STORE00001,LS,E02,2008,1,2008-1
141,200747,2008-01-19,7,17,1,0.81,PRD0901728,CL00003,DEP00002,G00001,D00001,,,,994109300140887,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
143,200747,2008-01-18,6,18,1,1.35,PRD0900081,CL00006,DEP00002,G00001,D00001,,,,994109300050812,L,MM,Top Up,Mixed,STORE00001,LS,E02,2008,1,2008-1
164,200749,2008-01-29,3,19,1,0.38,PRD0901961,CL00007,DEP00003,G00002,D00001,,,,994109500146794,L,LA,Top Up,Fresh,STORE00001,LS,E02,2008,1,2008-1
169,200747,2008-01-18,6,14,1,1.48,PRD0902581,CL00008,DEP00003,G00002,D00001,,,,994109300061222,L,MM,Top Up,Grocery,STORE00001,LS,E02,2008,1,2008-1
204,200749,2008-01-30,4,15,1,1.76,PRD0900058,CL00020,DEP00005,G00003,D00001,,,,994109500054503,S,UM,Small Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
222,200745,2008-01-05,7,14,1,1.28,PRD0903497,CL00023,DEP00008,G00004,D00002,,,,994109100082554,L,UM,Top Up,Mixed,STORE00001,LS,E02,2008,1,2008-1
255,200745,2008-01-03,5,17,1,0.57,PRD0903052,CL00031,DEP00008,G00004,D00002,,,,994109100043093,L,MM,Top Up,Grocery,STORE00001,LS,E02,2008,1,2008-1
269,200749,2008-01-28,2,19,1,1.26,PRD0901851,CL00025,DEP00008,G00004,D00002,,,,994109500151076,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
272,200746,2008-01-08,3,13,1,2.09,PRD0901740,CL00033,DEP00008,G00004,D00002,,,,994109200016178,L,UM,Top Up,Grocery,STORE00001,LS,E02,2008,1,2008-1
311,200746,2008-01-07,2,21,1,0.84,PRD0904857,CL00036,DEP00009,G00004,D00002,,,,994109200080611,L,LA,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
325,200748,2008-01-25,6,16,1,0.88,PRD0900330,CL00039,DEP00010,G00004,D00002,,,,994109400081201,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
329,200746,2008-01-10,5,13,1,0.65,PRD0903567,CL00038,DEP00010,G00004,D00002,,,,994109200106978,L,MM,Top Up,Mixed,STORE00001,LS,E02,2008,1,2008-1
463,200748,2008-01-21,2,17,1,0.76,PRD0900372,CL00067,DEP00019,G00007,D00002,,,,994109400015038,M,LA,Small Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
494,200746,2008-01-10,5,8,1,1.2,PRD0902719,CL00067,DEP00019,G00007,D00002,,,,994109200151373,M,LA,Small Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
524,200745,2008-01-05,7,19,1,0.92,PRD0900296,CL00070,DEP00020,G00007,D00002,,,,994109100000281,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
529,200747,2008-01-19,7,17,1,0.4,PRD0904925,CL00070,DEP00020,G00007,D00002,,,,994109300140887,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
557,200747,2008-01-17,5,15,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,994109300126156,L,LA,Top Up,Fresh,STORE00001,LS,E02,2008,1,2008-1
564,200749,2008-01-28,2,13,3,2.7,PRD0902900,CL00072,DEP00021,G00007,D00002,,,,994109500148434,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
569,200749,2008-01-29,3,18,1,1.32,PRD0903683,CL00072,DEP00021,G00007,D00002,,,,994109500122119,L,UM,Top Up,Fresh,STORE00001,LS,E02,2008,1,2008-1
588,200746,2008-01-09,4,19,1,1.35,PRD0903033,CL00073,DEP00021,G00007,D00002,,,,994109200124837,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
600,200747,2008-01-19,7,20,3,1.47,PRD0904363,CL00075,DEP00022,G00007,D00002,,,,994109300051381,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
674,200747,2008-01-19,7,21,3,3.72,PRD0901849,CL00087,DEP00025,G00008,D00002,,,,994109300059769,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
705,200747,2008-01-17,5,20,1,0.57,PRD0904649,CL00101,DEP00034,G00010,D00003,,,,994109300012869,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
719,200747,2008-01-19,7,20,1,0.14,PRD0903786,CL00103,DEP00035,G00010,D00003,,,,994109300051381,L,LA,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
720,200747,2008-01-19,7,15,1,2.08,PRD0904039,CL00103,DEP00035,G00010,D00003,,,,994109300072535,L,UM,Full Shop,Fresh,STORE00001,LS,E02,2008,1,2008-1
742,200747,2008-01-17,5,14,4,1.4,PRD0903078,CL00108,DEP00037,G00010,D00003,,,,994109300001309,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2008,1,2008-1
799,200746,2008-01-09,4,14,1,0.55,PRD0900609,CL00128,DEP00046,G00013,D00003,,,,994109200126724,L,MM,Top Up,Fresh,STORE00001,LS,E02,2008,1,2008-1
