Customer_ID,Call_Duration,Call_Type,Age_Group,Monthly_Spend
1,31.923885546504323,Outgoing,36-45,70.46575660117615
2,31.20508148921696,Outgoing,56-65,57.16657648086673
3,16.336727975792588,Outgoing,36-45,47.321743353596986
4,25.02319315648024,Outgoing,26-35,72.25514608399757
5,14.197003576439752,Outgoing,18-25,68.76092706320821
6,24.093005487619415,Incoming,26-35,48.011209869683576
7,15.768151679802605,Incoming,18-25,93.11028768715556
8,8.001920710440611,Incoming,56-65,16.456062193152945
9,0.0,Outgoing,18-25,65.14759768728064
10,15.119005877505728,Outgoing,46-55,51.929580586310365
11,18.95343756079705,Outgoing,46-55,67.57143388132307
12,26.312214982253515,Incoming,46-55,57.608910316730686
13,17.256375225059735,Incoming,36-45,61.56960133183229
14,24.02037094302312,Incoming,46-55,10.280534664755429
15,13.822409169449312,Incoming,18-25,60.65161696497833
16,14.639047213279884,Incoming,26-35,81.06188987125259
17,24.3782497777001,Incoming,36-45,39.902859963608535
18,0.0,Outgoing,56-65,79.9026121573403
19,17.090886802320412,Outgoing,36-45,46.167998726651476
20,14.200270553108945,Incoming,26-35,40.181076180639764
21,26.52427843396599,Incoming,46-55,40.761735013743944
22,13.30227593514126,Outgoing,26-35,29.477559246518382
23,20.61609478699066,Incoming,36-45,56.794969382870924
24,23.45061878534286,Outgoing,36-45,39.39916846710774
25,6.551828041087127,Incoming,36-45,41.31418431613858
26,16.02440784208269,Incoming,26-35,37.89258583127128
27,13.978544961398434,Incoming,18-25,63.17813569401213
28,23.62405272780716,Incoming,18-25,23.356199108270268
29,21.725572885685356,Outgoing,46-55,69.80388515891994
30,15.367585789585725,Outgoing,56-65,67.55241102413086
31,9.66814364708764,Incoming,26-35,67.71069672787199
32,24.26702687214063,Outgoing,18-25,30.48537155593073
33,16.52643056380853,Incoming,46-55,60.96463121069172
34,5.671364040327765,Outgoing,56-65,87.58724650485244
35,6.273337207210533,Outgoing,46-55,24.808145052377935
36,20.063434010510836,Incoming,46-55,59.52759998497555
37,8.06935665064137,Outgoing,56-65,27.148451859387166
38,30.017532455225293,Incoming,36-45,48.164432571297944
39,10.440508009484686,Outgoing,18-25,54.1854514934292
40,16.997474922499066,Incoming,18-25,39.167059440631235
41,18.11378376312214,Outgoing,56-65,36.235186091795455
42,11.89435582534208,Incoming,18-25,61.402398950502004
43,1.3212107859542197,Outgoing,26-35,29.746294780146137
44,18.33626568331359,Incoming,26-35,67.91180842597323
45,11.727320069284193,Incoming,26-35,98.54026364545413
46,17.815768993315103,Outgoing,56-65,23.05395898298444
47,16.14368263432904,Outgoing,46-55,21.55520408175201
48,18.843038736502624,Outgoing,46-55,17.110506877259
49,27.933090844592417,Incoming,36-45,43.092384226907086
50,13.176718910910143,Incoming,36-45,76.45193890408994
51,13.718087419602528,Outgoing,26-35,78.694995209623
52,5.339418880722771,Outgoing,26-35,65.53215163629109
53,15.633712342304937,Outgoing,56-65,60.009668621649624
54,19.869089924924765,Incoming,26-35,86.89502122779261
55,13.615535857002811,Outgoing,26-35,42.767278884535386
56,19.915013502838438,Incoming,26-35,68.9692556759076
57,15.757440321575663,Incoming,18-25,104.63335424571903
58,7.884136334217072,Incoming,46-55,85.84781201884898
59,19.183895498281732,Incoming,18-25,26.97773560748774
60,15.55917506504488,Incoming,26-35,40.52269253444159
61,17.859304749865505,Incoming,26-35,105.84601466514954
62,13.031350817527086,Incoming,18-25,40.60962220320694
63,12.412182339063737,Incoming,18-25,94.9606941922934
64,18.101875652870756,Incoming,56-65,44.208108441006274
65,15.385800615705056,Outgoing,56-65,50.025926951000386
66,29.06994774418486,Outgoing,26-35,32.05379418585378
67,22.591113585128152,Incoming,18-25,36.32043695668734
68,20.815029816273817,Outgoing,56-65,50.1147036800477
69,15.757634389490098,Outgoing,36-45,59.61358475402535
70,2.8178358606644363,Outgoing,18-25,44.93554595536671
71,11.346835506676246,Incoming,46-55,72.50586762226601
72,12.468945831909773,Incoming,36-45,44.99193854928971
73,15.075109295970602,Outgoing,36-45,3.3954911458294745
74,16.766483504270322,Incoming,18-25,49.81230758457698
75,21.59252475839847,Incoming,26-35,43.16543996524782
76,18.912018927490458,Incoming,46-55,92.18442453097961
77,25.114422340289334,Incoming,56-65,77.39696823370441
78,14.816686185365253,Outgoing,56-65,79.8335694830367
79,18.800140609191132,Outgoing,26-35,72.56590124100966
80,19.406909594451605,Outgoing,46-55,65.97919336947862
81,18.720083990510123,Outgoing,46-55,65.90195525473177
82,25.973231735580995,Incoming,36-45,78.07438803282956
83,22.62642025923035,Incoming,36-45,69.50201765789075
84,7.764177463490043,Incoming,46-55,41.82492174267979
85,16.19968230658462,Incoming,18-25,19.61823158072768
86,16.902184224391434,Incoming,18-25,7.834521989427266
87,32.06078744586504,Incoming,18-25,33.76619695340086
88,14.691461731281711,Incoming,46-55,36.60080684377701
89,10.122612676646728,Incoming,56-65,52.62754073556417
90,20.068278006336506,Incoming,18-25,51.919228833306356
91,20.478900037366454,Incoming,56-65,98.45446192742492
92,16.483589953892157,Outgoing,18-25,69.03824744948218
93,15.45817297920377,Outgoing,46-55,36.35526646092271
94,23.6423276924346,Incoming,18-25,89.28706676265992
95,11.024812920181258,Incoming,56-65,49.25126358101346
96,14.613326599920248,Incoming,26-35,69.16289639910757
97,13.344950965206287,Outgoing,56-65,66.70829297790945
98,24.657262183344116,Incoming,26-35,56.010360440107064
99,18.998459423004405,Outgoing,56-65,90.3518382346039
100,9.545041318751107,Incoming,18-25,40.39556758784292
101,10.248455247160617,Outgoing,18-25,58.21595932002183
102,30.11390586528506,Incoming,56-65,32.453668889457646
103,24.58252423674928,Outgoing,18-25,63.76152510895847
104,22.890851970664357,Incoming,18-25,65.18762244583358
105,17.085728586813396,Outgoing,46-55,57.14606638286251
106,27.559312680842865,Incoming,36-45,56.70090418876783
107,9.27616649815219,Incoming,36-45,50.628123241683575
108,22.270772585431434,Incoming,56-65,64.4159485988966
109,13.897085454321056,Outgoing,36-45,70.45622978373993
110,15.257746762413392,Outgoing,26-35,24.709732773973176
111,22.08052485382671,Outgoing,56-65,48.06318065460488
112,15.995097439229447,Outgoing,56-65,45.95433922245458
113,13.957100983771195,Incoming,26-35,71.52879320063477
114,13.533896463384522,Incoming,36-45,85.21148067658223
115,3.0955797814221295,Incoming,26-35,65.69036716026824
